id,crop_id,crop,N,P2O5,K2O,balance,reference_yield,std_N_demand,std_P2O5_demand,std_K2O_demand,harvested_part,crop_en
1.0,A2,"Actinidia polpa verde frutti, legno e foglie",0.59,0.16,0.59,sì,25.0,147.5,40.0,147.5,frutti,"Kiwifruit (green flesh) - fruit, wood and leaves"
2.0,Ab2,"Actinidia polpa gialla frutti, legno e foglie",0.59,0.16,0.59,sì,30.0,177.0,48.0,177.0,frutti,"Kiwifruit (yellow flesh) - fruit, wood and leaves"
3.0,A4,"Albicocco media produzione frutti, legno e foglie",0.55,0.13,0.53,sì,13.0,71.5,16.9,68.9,frutti,"Apricot (medium yield) - fruit, wood and leaves"
4.0,A5,"Albicocco  alta produzione frutti, legno e foglie",0.55,0.13,0.5,sì,18.0,99.0,23.4,90.0,frutti,"Apricot (high yield) - fruit, wood and leaves"
5.0,A6,"Altri fruttiferi frutti, legno e foglie",0.33,0.2838461538461538,0.741153846153846,sì,,,,,frutti,"Other fruit trees - fruit, wood and leaves"
6.0,A8,"Arancio frutti, legno e foglie",0.28,0.13,0.39,sì,30.0,84.0,39.0,117.0,frutti,"Orange - fruit, wood and leaves"
7.0,A10,Castagno solo frutti,0.84,0.33,0.86,sì,,,,,frutti,Chestnut (fruit only)
8.0,A12,"Ciliegio frutti, legno e foglie",0.67,0.22,0.59,sì,9.0,60.3,19.8,53.1,frutti,"Cherry - fruit, wood and leaves"
9.0,A14,"Clementine frutti, legno e foglie",0.28,0.13,0.43,sì,25.0,70.00000000000001,32.5,107.5,frutti,"Clementine - fruit, wood and leaves"
10.0,A15,"Cotogno (frutti, legno e foglie)",0.33,0.08,0.33,sì,60.0,198.0,48.0,198.0,frutti,"Quince (fruit, wood and leaves)"
11.0,A16,"Fico frutti, legno e foglie",1.14,0.75,1.0,sì,,,,,frutti,"Fig - fruit, wood and leaves"
12.0,A17,"Kaki frutti, legno e foglie",0.58,0.2,0.6,sì,25.0,144.99999999999997,50.0,150.0,frutti,"Persimmon - fruit, wood and leaves"
13.0,A18,"Limone frutti, legno e foglie",0.25,0.1,0.35,sì,30.0,75.0,30.0,105.0,frutti,"Lemon - fruit, wood and leaves"
14.0,A19,Luppolo (verde),0.86,0.43,0.71,sì,14.0,120.4,60.2,99.4,,Hop (green)
15.0,A20,"Mandarino frutti, legno e foglie",0.28,0.13,0.94,sì,25.0,70.00000000000001,32.5,235.0,frutti,"Mandarin - fruit, wood and leaves"
16.0,A21,"Mandorlo frutti, legno e foglie",0.45,0.35,0.7,sì,,,,,frutti,"Almond - fruit, wood and leaves"
17.0,A22,"Melo frutti, legno e foglie",0.29,0.08,0.31,sì,40.0,116.0,32.0,124.0,frutti,"Apple - fruit, wood and leaves"
18.0,A23,Mirtillo,0.14,0.07,0.1,sì,17.5,24.5,12.25,17.5,,Blueberry
19.0,A24,"Nashi frutti, legno e foglie",0.6,,,no,,,,,frutti,"Asian pear (Nashi) - fruit, wood and leaves"
20.0,A25,"Nespolo frutti, legno e foglie",0.8,,,no,,,,,frutti,"Loquat - fruit, wood and leaves"
21.0,A26,"Nettarine frutti, legno e foglie",0.64,0.14,0.53,sì,25.0,160.0,35.00000000000001,132.5,frutti,"Nectarine - fruit, wood and leaves"
22.0,A27,"Nocciolo frutti, legno e foglie",3.15,1.35,2.9,sì,,,,,frutti,"Hazelnut - fruit, wood and leaves"
23.0,A28,"Noce da frutto frutti, legno e foglie",3.2,1.0,1.3,sì,4.0,128.0,40.0,52.0,frutti,"Walnut - fruit, wood and leaves"
24.0,A29,"Olivo olive, legno e foglie",2.48,0.48,2.0,sì,4.0,99.2,19.2,80.0,frutti,"Olive - olives, wood and leaves"
25.0,A30,"Pero media produzione frutti, legno e foglie",0.33,0.08,0.33,sì,30.0,99.0,24.0,99.0,frutti,"Pear (medium yield) - fruit, wood and leaves"
26.0,A31,"Pero alta produzione frutti, legno e foglie",0.33,0.08,0.33,sì,40.0,132.0,32.0,132.0,frutti,"Pear (high yield) - fruit, wood and leaves"
27.0,A32,"Pesco frutti, legno e foglie",0.58,0.17,0.58,sì,25.0,144.99999999999997,42.5,144.99999999999997,frutti,"Peach - fruit, wood and leaves"
28.0,A33,Pioppo,0.55,,,no,,,,,parte aerea legnosa,Poplar
29.0,A34,Pioppo da energia,0.6,,,no,,,,,parte aerea legnosa,Energy poplar
30.0,A35,"Susino frutti, legno e foglie",0.49,0.1,0.49,sì,25.0,122.5,25.0,122.5,frutti,"Plum - fruit, wood and leaves"
31.0,A36,"Uva da tavola grappoli, tralci e foglie",0.51,0.06,0.48,sì,25.0,127.5,15.0,120.0,grappoli uva,"Table grape - bunches, shoots and leaves"
32.0,A37,"Vite per uva da vino (collina e montagna) grappoli, tralci e foglie ",0.57,0.26,0.67,sì,10.0,56.99999999999999,26.0,67.0,grappoli uva,"Grapevine for wine (hill and mountain) - bunches, shoots and leaves"
33.0,A38,"Vite per uva da vino (pianura) grappoli, legno e foglie",0.62,0.28,0.74,sì,20.0,124.0,56.00000000000001,148.0,grappoli uva,"Vite per uva da vino (pianura) grappoli, legno e foglie"
34.0,E1,Altri cereali a paglia (pianta intera),2.225,0.8580000000000001,1.7670000000000003,sì,,,,,granella + paglia,Altri cereali a paglia (pianta intera)
35.0,E2,Avena,2.24,0.67,0.51,sì,3.2,71.68,21.44,16.32,granella,Avena
36.0,E3,Avena pianta intera,2.24,0.93,2.19,sì,3.2,71.68,29.760000000000005,70.08,granella + paglia,Avena pianta intera
37.0,E4,Barbababietola da zucchero (pianta intera),0.31,0.16,0.33,sì,70.0,217.0,112.0,231.0,radici + colletti + foglie,Barbababietola da zucchero (pianta intera)
38.0,E5,Barbabietola da zucchero  (radici),0.31,0.14,0.21,sì,50.0,155.0,70.00000000000001,105.0,radici + colletti + foglie,Barbabietola da zucchero  (radici)
39.0,E6,Canapa da fibra,0.43,0.2,0.6,sì,,,,,pianta intera,Canapa da fibra
40.0,E7,Cavolo abissino,6.91,,,no,,,,,parte aerea,Cavolo abissino
41.0,E8,Cece,3.68,1.08,1.74,sì,2.0,73.60000000000001,21.6,34.8,grani,Cece
42.0,E9,Colza,6.21,1.28,0.99,sì,2.5,155.25,32.0,24.75,semi,Colza
43.0,E10,Colza pianta intera,6.21,2.66,7.86,sì,2.5,155.25,66.5,196.50000000000003,semi + residui,Colza pianta intera
44.0,E11,Farro,2.7,0.87,0.52,sì,2.0,54.0,17.4,10.4,granella,Farro
45.0,E12,Farro (pianta intera),2.7,0.98,1.53,sì,2.0,54.0,19.6,30.6,granella + residui,Farro (pianta intera)
46.0,E13,Favino da granella,4.3,1.0,4.4,sì,2.0,86.0,20.0,88.0,granella,Favino da granella
47.0,E14,Girasole (acheni),4.31,1.24,1.15,sì,3.0,129.3,37.2,34.5,acheni,Girasole (acheni)
48.0,E15,Girasole (pianta intera),4.31,1.9,8.51,sì,3.0,129.3,56.99999999999999,255.3,acheni + residui,Girasole (pianta intera)
49.0,E16,Grano duro (granella),3.11,0.85,0.59,sì,6.0,186.6,51.0,35.4,granella,Durum wheat (grain)
50.0,E17,Grano duro (pianta intera),3.11,1.06,1.99,sì,6.0,186.6,63.6,119.4,granella + residui,Durum wheat (whole plant)
51.0,E18,Grano tenero FP/FPS (granella),2.96,0.78,0.5,sì,6.0,177.59999999999997,46.8,30.0,granella,Soft wheat FP/FPS (grain)
52.0,E19,Grano tenero FP/FPS (pianta intera),2.96,0.98,1.87,sì,6.0,177.59999999999997,58.8,112.2,granella + residui,Soft wheat FP/FPS (whole plant)
53.0,E20,Grano tenero biscottiero  (granella),2.81,0.98,0.61,sì,6.0,168.6,58.8,36.6,granella,Grano tenero biscottiero  (granella)
54.0,E21,Grano tenero biscottiero pianta intera,2.81,1.19,2.29,sì,6.0,168.6,71.39999999999999,137.4,granella + residui,Grano tenero biscottiero pianta intera
55.0,E22,Grano tenero FF (granella),3.11,0.87,0.53,sì,6.0,186.6,52.2,31.8,granella,Soft wheat FF - strong (grain)
56.0,E23,Grano tenero FF (pianta intera),3.11,1.06,1.99,sì,6.0,186.6,63.6,119.4,granella + residui,Soft wheat FF - strong (whole plant)
57.0,E24,Lenticchia,4.21,0.95,1.22,sì,,,,,granella,Lenticchia
58.0,E25,Lino  fibra,2.59,1.8,3.2,sì,,,,,pianta intera,Lino  fibra
59.0,E26,Lino granella,3.63,1.4,1.3,sì,,,,,granella,Lino granella
60.0,E27,Lupino,4.3,1.0,4.4,sì,,,,,granella,Lupino
61.0,E28,Mais da granella 300-400 (granella),2.27,0.69,0.38,sì,7.0,158.9,48.3,26.6,granella,Mais da granella 300-400 (granella)
